Date,Close/Last
5/24/2021,$112.52 
5/25/2021,$112.63 
5/26/2021,$112.85 
5/27/2021,$113.51 
5/28/2021,$113.88 
6/1/2021,$113.34 
6/2/2021,$113.00 
6/3/2021,$111.12 
6/4/2021,$111.99 
6/7/2021,$111.33 
6/8/2021,$111.52 
6/9/2021,$111.39 
6/10/2021,$112.21 
6/11/2021,$112.56 
6/14/2021,$112.45 
6/15/2021,$111.89 
6/16/2021,$111.36 
6/17/2021,$111.39 
6/18/2021,$109.70 
6/21/2021,$110.97 
6/22/2021,$111.85 
6/23/2021,$111.56 
6/24/2021,$111.99 
6/25/2021,$113.04 
6/28/2021,$112.24 
6/29/2021,$112.27 
6/30/2021,$111.81 
7/1/2021,$113.41 
7/2/2021,$114.97 
7/6/2021,$115.73 
7/7/2021,$117.14 
7/8/2021,$115.99 
7/9/2021,$117.47 
7/12/2021,$118.46 
7/13/2021,$119.55 
7/14/2021,$119.80 
7/15/2021,$118.97 
7/16/2021,$118.73 
7/19/2021,$115.32 
7/20/2021,$117.42 
7/21/2021,$119.27 
7/22/2021,$122.63 
7/23/2021,$125.97 
7/26/2021,$126.06 
7/27/2021,$126.03 
7/28/2021,$122.41 
7/29/2021,$122.38 
7/30/2021,$121.43 
8/2/2021,$120.37 
8/3/2021,$119.13 
8/4/2021,$118.25 
8/5/2021,$119.03 
8/6/2021,$119.05 
8/9/2021,$117.94 
8/10/2021,$116.39 
8/11/2021,$116.50 
8/12/2021,$115.75 
8/13/2021,$116.76 
8/16/2021,$117.54 
8/17/2021,$116.57 
8/18/2021,$115.68 
8/19/2021,$114.32 
8/20/2021,$114.63 
8/23/2021,$115.15 
8/24/2021,$115.08 
8/25/2021,$115.57 
8/26/2021,$114.32 
8/27/2021,$115.12 
8/30/2021,$115.61 
8/31/2021,$117.49 
9/1/2021,$117.45 
9/2/2021,$117.37 
9/3/2021,$117.19 
9/7/2021,$115.79 
9/8/2021,$118.04 
9/9/2021,$118.79 
9/10/2021,$119.34 
9/13/2021,$119.18 
9/14/2021,$118.86 
9/15/2021,$114.64 
9/16/2021,$114.67 
9/17/2021,$113.41 
9/20/2021,$111.82 
9/21/2021,$112.22 
9/22/2021,$113.07 
9/23/2021,$114.14 
9/24/2021,$114.11 
9/27/2021,$113.68 
9/28/2021,$111.71 
9/29/2021,$112.17 
9/30/2021,$110.31 
10/1/2021,$112.92 
10/4/2021,$111.46 
10/5/2021,$110.85 
10/6/2021,$111.64 
10/7/2021,$112.21 
10/8/2021,$111.22 
10/11/2021,$110.94 
10/12/2021,$111.00 
10/13/2021,$110.76 
10/14/2021,$111.87 
10/15/2021,$111.45 
10/18/2021,$113.37 
10/19/2021,$113.49 
10/20/2021,$113.86 
10/21/2021,$114.44 
10/22/2021,$114.55 
10/25/2021,$114.71 
10/26/2021,$114.92 
10/27/2021,$113.51 
10/28/2021,$113.20 
10/29/2021,$106.07 
11/1/2021,$109.80 
11/2/2021,$111.45 
11/3/2021,$112.61 
11/4/2021,$112.16 
11/5/2021,$116.91 
11/8/2021,$115.16 
11/9/2021,$114.13 
11/10/2021,$113.25 
11/11/2021,$111.44 
11/12/2021,$111.72 
